N,x,h1,h2,h3,h4,h5
0, 0.000000, 149.680054, 149.777054, 142.113602, 139.009399, 152.008194
1, 2.599860, 144.732758, 146.381851, 138.524384, 135.226181, 147.157898
2, 5.199720, 139.106415, 142.889648, 134.741150, 132.024979, 142.598618
3, 7.799580, 133.286057, 137.457306, 130.181870, 129.890854, 139.106415
4, 10.399440, 126.495651, 130.472885, 126.786667, 128.241760, 136.487259
5, 12.999300, 119.802246, 125.137566, 124.555534, 127.077682, 135.032166
6, 15.599159, 113.981895, 121.839371, 124.458527, 126.495651, 133.771088
7, 18.199020, 112.526802, 119.608231, 123.294456, 126.398643, 133.189056
8, 20.798880, 113.787880, 117.571114, 123.294456, 126.592659, 132.315994
9, 23.398739, 116.213028, 117.474106, 124.167511, 126.398643, 131.830978
10, 25.998600, 117.183090, 118.541168, 127.368706, 126.204636, 131.636963
11, 28.598459, 117.765121, 119.899254, 129.987854, 126.689659, 132.413010
12, 31.198318, 117.571114, 120.772301, 131.442947, 129.017807, 133.577072
13, 33.798180, 117.765121, 121.548347, 131.442947, 131.248932, 135.517197
14, 36.398041, 118.444160, 123.391464, 130.763901, 133.092056, 137.554321
15, 38.997898, 120.675301, 124.070503, 129.308823, 132.607025, 139.882462
16, 41.597759, 123.100441, 124.458527, 126.786667, 132.607025, 141.628571
17, 44.197620, 125.719604, 121.257332, 123.779488, 134.547134, 143.374664
18, 46.797478, 128.241760, 118.735184, 122.130386, 138.815399, 144.829758
19, 49.397339, 130.666901, 115.242966, 122.421402, 142.986649, 146.090836
20, 51.997200, 132.801025, 115.048958, 123.488464, 144.344727, 147.157898
21, 54.597057, 134.644150, 116.310036, 124.361519, 143.859695, 147.739929
22, 57.196918, 136.196243, 119.608231, 125.428589, 143.374664, 147.351913
23, 59.796780, 137.069290, 123.294456, 128.241760, 143.374664, 145.799820
24, 62.396637, 137.651321, 126.107628, 131.345947, 143.665695, 143.471680
25, 64.996498, 137.166290, 126.980682, 133.965103, 143.568680, 140.949524
26, 67.596359, 135.905212, 126.398643, 135.226181, 143.471680, 138.718384
27, 70.196220, 133.771088, 125.622597, 135.711212, 143.471680, 136.681259
28, 72.796082, 133.286057, 127.368706, 135.711212, 142.792633, 134.741150
29, 75.395935, 133.965103, 128.823792, 134.838150, 141.143539, 132.704025
30, 77.995796, 135.226181, 130.375885, 133.577072, 138.136353, 130.957916
31, 80.595657, 135.517197, 130.181870, 131.830978, 134.644150, 129.599838
